Id,Name,City,State,Country,Region,IATA,ICAO,Latitude,Longitude,Elevation,UTC,DST
1,Goroka,Goroka,Port Moresby,Papua New Guinea,Pacific,GKA,AYGA,-6.081689,145.391881,5282,10,U
2,Madang,Madang,Port Moresby,Papua New Guinea,Pacific,MAG,AYMD,-5.207083,145.7887,20,10,U
3,Mount Hagen,Mount Hagen,Port Moresby,Papua New Guinea,Pacific,HGU,AYMH,-5.826789,144.295861,5388,10,U
4,Nadzab,Nadzab,Port Moresby,Papua New Guinea,Pacific,LAE,AYNZ,-6.569828,146.726242,239,10,U
5,Port Moresby Jacksons Intl,Port Moresby,Port Moresby,Papua New Guinea,Pacific,POM,AYPY,-9.443383,147.22005,146,10,U
6,Wewak Intl,Wewak,Port Moresby,Papua New Guinea,Pacific,WWK,AYWK,-3.583828,143.669186,19,10,U
7,Narsarsuaq,Narssarssuaq,Godthab,Greenland,America,UAK,BGBW,61.160517,-45.425978,112,-3,E
8,Nuuk,Godthaab,Godthab,Greenland,America,GOH,BGGH,64.190922,-51.678064,283,-3,E
9,Sondre Stromfjord,Sondrestrom,Godthab,Greenland,America,SFJ,BGSF,67.016969,-50.689325,165,-3,E
10,Thule Air Base,Thule,Thule,Greenland,America,THU,BGTL,76.531203,-68.703161,251,-4,E
11,Akureyri,Akureyri,Reykjavik,Iceland,Atlantic,AEY,BIAR,65.659994,-18.072703,6,0,N
12,Egilsstadir,Egilsstadir,Reykjavik,Iceland,Atlantic,EGS,BIEG,65.283333,-14.401389,76,0,N
13,Hornafjordur,Hofn,Reykjavik,Iceland,Atlantic,HFN,BIHN,64.295556,-15.227222,24,0,N
14,Husavik,Husavik,Reykjavik,Iceland,Atlantic,HZK,BIHU,65.952328,-17.425978,48,0,N
15,Isafjordur,Isafjordur,Reykjavik,Iceland,Atlantic,IFJ,BIIS,66.058056,-23.135278,8,0,N
16,Keflavik International Airport,Keflavik,Reykjavik,Iceland,Atlantic,KEF,BIKF,63.985,-22.605556,171,0,N
17,Patreksfjordur,Patreksfjordur,Reykjavik,Iceland,Atlantic,PFJ,BIPA,65.555833,-23.965,11,0,N
18,Reykjavik,Reykjavik,Reykjavik,Iceland,Atlantic,RKV,BIRK,64.13,-21.940556,48,0,N
19,Siglufjordur,Siglufjordur,Reykjavik,Iceland,Atlantic,SIJ,BISI,66.133333,-18.916667,10,0,N
